iter	Passed	Remaining
406	7337	10690
407	7351	10667
408	7366	10644
409	7382	10623
410	7407	10615
411	7433	10608
412	7463	10607
413	7482	10591
414	7501	10573
415	7516	10552
416	7534	10533
417	7557	10521
418	7574	10503
419	7594	10487
420	7611	10467
421	7628	10447
422	7652	10438
423	7675	10426
424	7695	10411
425	7719	10401
426	7740	10387
427	7761	10372
428	7785	10363
429	7804	10345
430	7826	10332
431	7855	10328
432	7885	10325
433	7997	10429
434	8018	10415
435	8040	10400
436	8059	10382
437	8075	10361
438	8092	10341
439	8133	10352
440	8149	10329
441	8166	10309
442	8181	10287
443	8201	10270
444	8217	10249
445	8233	10227
446	8249	10205
447	8265	10183
448	8282	10164
449	8302	10147
450	8318	10125
451	8336	10107
452	8355	10089
453	8371	10068
454	8396	10057
455	8420	10045
456	8437	10024
457	8453	10003
458	8473	9987
459	8490	9966
460	8512	9952
461	8529	9932
462	8545	9910
463	8561	9889
464	8577	9868
465	8591	9845
466	8609	9826
467	8624	9803
468	8638	9779
469	8651	9755
470	8666	9733
471	8681	9711
472	8696	9689
473	8714	9670
474	8731	9650
475	8747	9629
476	8764	9609
477	8783	9591
478	8803	9575
479	8821	9556
480	8853	9553
481	8869	9532
482	8885	9510
483	8897	9486
484	8917	9468
485	8939	9454
486	8955	9434
487	8972	9414
488	8988	9392
489	9003	9371
490	9023	9354
491	9040	9334
492	9057	9314
493	9074	9295
494	9090	9274
495	9108	9255
496	9124	9234
497	9139	9213
498	9155	9191
499	9171	9171
500	9189	9152
501	9208	9135
502	9224	9114
503	9240	9093
504	9256	9073
505	9273	9053
506	9292	9035
507	9308	9015
508	9324	8994
509	9339	8973
510	9354	8951
511	9373	8933
512	9390	8914
513	9406	8893
514	9422	8873
515	9440	8854
516	9455	8833
517	9472	8813
518	9490	8795
519	9504	8773
520	9526	8758
521	9545	8741
522	9567	8726
523	9589	8711
524	9608	8693
525	9630	8678
526	9647	8658
527	9661	8636
528	9681	8620
529	9698	8600
530	9716	8582
531	9734	8563
532	9750	8543
533	9767	8523
534	9783	8503
535	9799	8482
536	9814	8462
537	9830	8441
538	9847	8422
539	9865	8403
540	9880	8383
541	9897	8363
542	9917	8346
543	9933	8326
544	9954	8310
545	9971	8291
546	9987	8271
547	10005	8253
548	10029	8239
549	10058	8229
550	10074	8209
551	10090	8189
552	10108	8170
553	10124	8150
554	10140	8130
555	10156	8110
556	10173	8090
557	10190	8071
558	10206	8051
559	10221	8031
560	10238	8012
561	10256	7993
562	10276	7976
563	10296	7959
564	10314	7941
565	10334	7924
566	10388	7933
567	10450	7948
568	10481	7939
569	10500	7921
570	10517	7901
571	10534	7882
572	10550	7862
573	10573	7846
574	10589	7827
575	10603	7805
576	10621	7786
577	10639	7768
578	10653	7746
579	10669	7726
580	10690	7709
581	10704	7688
582	10719	7667
583	10741	7651
584	10760	7633
585	10779	7615
586	10800	7599
587	10823	7583
588	10839	7564
589	10859	7546
590	10891	7537
591	10913	7521
592	10932	7503
593	10954	7487
594	10973	7469
595	10994	7452
596	11011	7433
597	11029	7414
598	11046	7395
599	11065	7377
600	11083	7358
601	11097	7336
602	11113	7316
603	11128	7296
604	11144	7276
605	11160	7255
606	11176	7236
607	11193	7216
608	11209	7196
609	11225	7176
610	11241	7157
611	11258	7137
612	11273	7117
613	11292	7099
614	11311	7081
615	11333	7065
616	11350	7045
617	11369	7027
618	11396	7014
619	11411	6993
620	11426	6973
621	11440	6952
622	11455	6932
623	11472	6912
624	11487	6892
625	11503	6872
626	11521	6854
627	11536	6833
628	11551	6813
629	11566	6792
630	11580	6772
631	11597	6752
632	11618	6735
633	11636	6717
634	11656	6700
635	11677	6683
636	11692	6663
637	11708	6643
638	11724	6623
639	11749	6608
640	11766	6590
641	11783	6570
642	11804	6554
643	11826	6537
644	11842	6517
645	11857	6497
646	11876	6479
647	11894	6461
648	11911	6442
649	11931	6424
650	11951	6407
651	11968	6388
652	11983	6367
653	12003	6350
654	12019	6330
655	12034	6310
656	12059	6296
657	12079	6278
658	12097	6259
659	12123	6245
660	12142	6227
661	12162	6209
662	12187	6194
663	12205	6176
664	12221	6156
665	12240	6138
666	12256	6119
667	12272	6099
668	12287	6079
669	12302	6059
670	12320	6041
671	12337	6021
672	12356	6003
673	12374	5985
674	12391	5966
675	12410	5948
676	12428	5929
677	12453	5914
678	12474	5897
679	12492	5878
680	12516	5863
681	12534	5844
682	12553	5826
683	12571	5807
684	12599	5793
685	12624	5778
686	12651	5763
687	12675	5748
688	12698	5731
689	12721	5715
690	12740	5697
691	12766	5682
692	12783	5663
693	12803	5645
694	12822	5627
695	12839	5608
696	12857	5589
697	12872	5569
698	12890	5551
699	12907	5531
700	12923	5512
701	12944	5494
702	12962	5476
703	12983	5458
704	13001	5440
705	13024	5423
706	13042	5405
707	13059	5386
708	13076	5367
709	13097	5349
710	13114	5330
711	13132	5312
712	13151	5293
713	13170	5275
714	13188	5256
715	13203	5236
716	13217	5217
717	13236	5198
718	13251	5179
719	13267	5159
720	13286	5141
721	13306	5123
722	13323	5104
723	13341	5086
724	13360	5067
725	13381	5050
726	13404	5033
727	13422	5014
728	13441	4996
729	13470	4982
730	13488	4963
731	13508	4945
732	13525	4926
733	13541	4907
734	13557	4888
735	13575	4869
736	13592	4850
737	13609	4831
738	13626	4812
739	13642	4793
